game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
2017020003,8476988,22,1176,0,0,0,3,0,0,0,0,0,1,4,0,0,1,0,1046,21,109
2017020003,8477498,22,1118,0,0,4,1,0,0,0,0,0,1,1,0,0,1,0,1059,59,0
2017020003,8475178,22,1009,0,0,3,1,0,0,5,0,0,1,1,0,0,0,0,940,60,9
2017020003,8476454,22,1099,0,0,0,1,0,0,0,8,18,4,0,0,0,0,0,948,44,107
2017020003,8478402,22,1172,0,3,7,0,0,0,0,0,0,2,1,0,0,0,3,1039,0,133
2017020003,8479465,22,791,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,715,36,40
2017020003,8476472,22,1350,0,0,9,0,0,0,0,0,0,1,1,0,0,1,3,1167,61,122
2017020003,8474034,22,1134,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1036,0,98
2017020003,8473473,22,1061,1,0,1,5,0,0,0,0,1,0,1,0,0,2,1,929,0,132
2017020004,8476906,4,1092,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,899,4,189
2017020004,8474668,4,693,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,687,6,0
2017020004,8473512,4,1050,0,1,1,0,0,0,0,8,13,0,0,0,0,0,1,869,4,177
2017020004,8470047,4,904,0,0,2,0,0,0,0,1,5,1,0,0,0,1,0,678,49,177
2017020004,8475738,4,820,0,1,3,1,1,0,0,0,0,2,0,0,0,0,0,733,0,87
2017020004,8478439,4,762,1,0,2,0,0,1,2,0,1,0,0,0,0,1,0,718,0,44
2017020004,8476955,4,750,0,0,2,0,0,0,0,0,0,0,0,0,0,1,-1,475,275,0
2017020004,8478500,4,1535,0,0,2,1,0,0,0,0,0,1,1,0,0,5,1,1111,350,74
2017020004,8475430,4,1029,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,923,106,0
2017020004,8476872,4,803,0,0,1,2,0,0,0,7,12,0,1,0,0,1,-1,519,284,0
2017020004,8479974,4,810,0,0,3,0,0,0,0,5,9,0,0,0,0,1,0,766,0,44
2017020004,8474161,4,1035,3,0,2,0,0,2,0,0,0,0,1,0,0,0,1,877,0,158
2017020004,8477462,4,973,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,805,119,49
2017020004,8476461,4,1142,1,0,6,4,0,0,0,9,18,0,0,0,0,0,2,867,188,87
2017020004,8473584,4,1237,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,957,249,31
2017020004,8475462,4,1202,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,988,188,26
2017020004,8477290,4,442,0,0,1,3,0,0,0,0,0,0,1,0,0,0,-1,442,0,0
2017020004,8474190,4,1175,0,3,3,2,2,0,0,0,0,0,1,0,0,4,1,788,210,177
2017020004,8466138,28,1084,1,0,1,0,0,1,0,7,13,3,0,0,0,0,0,711,7,366
2017020004,8470613,28,1462,1,0,5,0,0,1,0,0,0,0,3,0,0,2,-1,1111,1,350
2017020004,8468542,28,994,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,994,0,0
2017020004,8471709,28,1297,0,0,1,0,0,0,0,0,0,0,1,0,0,2,-1,941,162,194
2017020004,8476919,28,896,0,0,1,1,0,0,0,3,7,0,0,0,0,1,0,817,79,0
2017020004,8470794,28,987,1,0,2,0,0,0,2,0,1,0,1,0,0,1,1,655,0,332
2017020004,8471498,28,938,0,0,2,1,0,0,0,1,1,2,2,0,0,0,0,823,115,0
2017020004,8474027,28,1277,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,1111,162,4
2017020004,8475820,28,758,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,758,0,0
2017020004,8477922,28,791,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,738,53,0
2017020004,8474053,28,1090,0,1,5,1,1,0,0,8,14,0,1,0,0,0,-1,698,66,326
2017020004,8478414,28,723,0,0,0,2,0,0,0,1,1,1,1,0,0,3,-1,703,16,4
2017020004,8475455,28,897,1,0,3,2,0,0,0,0,0,0,2,0,0,0,1,796,101,0
2017020004,8478099,28,792,0,2,5,0,1,0,6,1,2,0,0,0,0,0,0,647,7,138
2017020004,8476881,28,967,0,0,2,2,0,0,0,7,18,1,0,0,0,0,-1,662,102,203
2017020004,8476331,28,914,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,658,102,154
2017020004,8474571,28,1090,0,0,2,0,0,0,0,0,0,1,1,0,0,0,-1,776,0,314
2017020004,8468208,28,807,0,0,1,1,0,0,0,0,0,2,2,0,0,2,-1,541,90,176
2017020005,8468486,18,1072,0,1,1,4,1,0,0,0,1,0,0,0,0,0,-2,654,0,418
2017020005,8475218,18,1385,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,923,259,203
2017020005,8475625,18,1073,0,0,0,4,0,0,2,0,0,0,0,0,0,0,-1,919,154,0
2017020005,8475714,18,764,1,0,2,0,0,1,0,2,13,0,0,0,0,0,0,605,110,49
2017020005,8476925,18,789,0,0,1,1,0,0,2,5,10,1,1,0,0,0,-1,659,81,49
2017020005,8475225,18,896,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,670,0,226
2017020005,8476887,18,1175,0,1,3,1,1,0,0,1,1,0,1,0,0,0,0,719,27,429
2017020005,8476447,18,855,0,0,1,3,0,0,0,0,0,2,0,0,0,1,0,701,150,4
2017020005,8477942,18,868,0,0,0,0,0,0,0,0,1,1,1,0,0,1,-2,686,1,181
2017020005,8471657,18,295,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,293,0,2
2017020005,8474009,18,964,0,0,2,1,0,0,0,9,19,1,1,0,0,0,-2,600,128,236
2017020005,8475766,18,622,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,451,171,0
2017020005,8474600,18,1679,0,0,5,2,0,0,2,0,0,0,1,0,0,0,-2,1081,118,480
2017020005,8475793,18,1307,2,0,1,1,0,1,0,15,26,2,1,0,0,0,0,826,32,449
2017020005,8471296,18,587,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,551,36,0
2017020005,8474134,18,640,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,634,6,0
2017020005,8474056,18,1681,1,0,5,3,0,1,0,0,2,2,2,0,0,1,-1,915,253,513
2017020005,8478042,18,1019,1,1,4,0,0,1,0,0,0,0,1,0,0,3,0,620,87,312
2017020005,8473419,6,1304,0,1,1,0,0,0,0,2,3,2,1,1,0,1,1,814,211,279
2017020005,8471717,6,832,0,0,3,2,0,0,5,0,0,0,0,0,0,0,-1,570,262,0
2017020005,8471276,6,1289,3,0,2,1,0,1,0,17,22,1,0,0,0,0,1,920,156,213
2017020005,8475727,6,1007,0,0,2,1,0,0,0,5,8,0,0,0,0,0,0,657,0,350
2017020005,8478569,6,282,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,168,114,0
2017020005,8477956,6,996,0,1,4,0,1,0,0,0,2,1,2,0,0,1,-1,731,0,265
2017020005,8477213,6,930,0,0,2,3,0,0,0,4,11,2,1,0,0,2,1,576,354,0
2017020005,8473492,6,616,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,421,144,51
2017020005,8474062,6,997,0,0,2,2,0,0,0,8,13,0,0,0,0,0,0,510,307,180
2017020005,8479325,6,1320,1,1,2,1,0,1,6,0,0,1,0,0,0,0,1,1021,56,243
2017020005,8478443,6,1238,1,0,2,0,0,0,0,0,0,1,0,0,1,2,1,832,406,0
2017020005,8476891,6,731,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,561,0,170
2017020005,8476374,6,722,0,0,2,2,0,0,2,4,12,1,1,0,0,0,-1,673,43,6
2017020005,8478366,6,428,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,422,0,6
2017020005,8478498,6,845,1,1,4,0,0,0,0,1,1,1,0,0,0,0,2,703,0,142
2017020005,8478075,6,974,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,840,0,134
2017020005,8465009,6,1413,0,0,1,3,0,0,2,0,0,0,2,0,0,0,1,979,408,26
2017020005,8476191,6,1295,0,0,0,4,0,0,2,0,0,1,0,0,0,0,1,1061,234,0
2017020006,8473507,8,1134,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,996,137,1
2017020006,8474818,8,1047,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,847,200,0
2017020006,8474038,8,815,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,596,219,0
2017020006,8475848,8,1068,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,756,29,283
2017020006,8476948,8,832,0,0,4,0,0,0,0,2,3,0,0,0,0,0,-1,684,0,148
2017020006,8476479,8,1039,0,1,3,1,0,0,0,10,18,1,0,1,0,0,1,884,155,0
2017020006,8470642,8,1770,1,0,1,7,0,0,0,0,0,0,2,0,1,4,1,1090,349,331
2017020006,8477455,8,577,0,0,0,2,0,0,0,2,9,0,0,0,0,1,0,455,122,0
2017020006,8477476,8,840,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-1,605,93,142
2017020006,8476851,8,1089,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,773,0,316
2017020006,8474157,8,1357,0,1,6,0,0,0,2,0,1,0,1,0,0,0,2,838,187,332
2017020006,8473991,8,1288,1,0,2,1,0,0,0,0,0,0,0,0,1,0,-1,946,342,0
2017020006,8477494,8,1205,1,0,5,1,0,0,0,9,19,0,1,0,0,0,1,849,18,338
2017020006,8479376,8,1123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,959,0,164
2017020006,8469521,8,805,0,0,3,0,0,0,2,10,19,0,0,0,0,0,-1,647,158,0
2017020006,8476381,8,915,0,0,1,0,0,0,2,6,7,0,0,0,0,0,0,859,0,56
2017020006,8469466,8,637,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,490,6,141
2017020006,8468309,8,759,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,611,0,148
2017020006,8469506,7,981,0,2,3,0,1,0,0,2,2,1,1,0,0,0,1,765,16,200
2017020006,8475728,7,689,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,545,109,35
2017020006,8476807,7,1048,0,0,2,1,0,0,0,0,0,0,0,0,0,0,-1,979,51,18
2017020006,8474618,7,1271,0,0,2,4,0,0,0,0,0,0,0,0,0,0,-1,964,289,18
2017020006,8471678,7,843,0,0,2,2,0,0,0,0,1,0,0,0,0,0,-1,665,160,18
2017020006,8475325,7,720,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,543,144,33
2017020006,8476931,7,999,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,742,230,27
2017020006,8473449,7,1198,0,0,2,0,0,0,0,0,0,1,0,0,0,1,-2,873,26,299
2017020006,8477933,7,946,0,0,0,1,0,0,0,6,14,1,0,0,0,0,-1,711,0,235
2017020006,8476878,7,744,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,619,125,0
2017020006,8477499,7,1618,0,0,4,5,0,0,0,0,0,0,0,0,0,2,0,1111,199,308
